step,cost
451,-5.9
452,-5.7
453,-6.0
454,-5.5
455,-5.9
456,-6.5
457,-7.2
458,-6.1
459,-6.7
460,-6.2
461,-7.6
462,-5.7
463,-5.0
464,-6.6
465,-6.1
466,-5.4
