graph,VQE_1L,VQE_2L,LVQE_0L,LVQE_1L,LVQE_2L
caveman,1.0,1.0,1.0,1.0,1.0
gaussian,1.0,1.0,1.0,1.0,1.0
gnp,1.0,1.0,1.0,1.0,1.0
power,1.0,1.0,0.82,1.0,0.82
random_p,1.0,1.0,1.0,1.0,1.0
windmill,1.0,1.0,1.0,1.0,1.0
