n_nodes,k,max_layers,shots,max_iter_per_layer,n_seeds,random_seed,n_qubits,C_bkv,rho_best,rho_mean,rho_std,rho_per_seed,cost_per_seed, optimizer
7,4,2,2000,200,1,,14,0.13223140495867766,0.9816406250000016,0.9816406250000016,0.0,[np.float64(0.9816406250000016)],[-0.12980371900826465], COBYLA
8,4,2,2000,200,1,,16,0.138671875,0.31487323943661966,0.31487323943661966,0.0,[np.float64(0.31487323943661966)],[-0.04366406249999999], COBYLA
7,4,2,2000,200,14,0.13223140495867766,-0.13210330578512422,0.13210330578512422,0.9990312500000021,SMO
