graph,VQE_1L,VQE_2L,LVQE_0L,LVQE_1L,LVQE_2L
caveman,0.92,1.0,0.76,1.0,1.0
gaussian,0.98,1.0,0.92,1.0,1.0
gnp,0.82,0.92,0.9,0.9,0.97
power,0.73,0.84,0.66,0.74,0.71
random_p,0.98,0.95,0.8,1.0,1.0
windmill,1.0,0.99,0.92,1.0,1.0
