graph,VQE_1L,VQE_2L,LVQE_0L,LVQE_1L,LVQE_2L
caveman,1.0,0.99,1.0,1.0,1.0
gaussian,1.0,0.99,1.0,1.0,1.0
gnp,1.0,0.99,1.0,1.0,1.0
power,1.0,0.98,1.0,1.0,1.0
random_p,1.0,0.99,1.0,1.0,1.0
windmill,1.0,0.99,1.0,1.0,1.0
