graph,VQE_1L,VQE_2L,LVQE_0L,LVQE_1L,LVQE_2L
3reg_10,1.0,1.0,1.0,1.0,0.85
3reg_12,1.0,1.0,1.0,1.0,0.91
3reg_14,1.0,1.0,1.0,1.0,0.97
3reg_8,1.0,1.0,1.0,1.0,0.95
mobius_10,1.0,1.0,1.0,1.0,0.87
