graph,VQE_1L,VQE_2L,LVQE_0L,LVQE_1L,LVQE_2L
3reg_10,0.94,0.98,0.97,0.97,0.84
3reg_12,0.96,0.99,0.95,0.99,0.91
3reg_14,1.0,0.98,0.97,0.97,0.93
3reg_8,1.0,1.0,0.98,1.0,0.89
mobius_10,0.97,1.0,0.95,1.0,0.87
