graph,VQE_1L,VQE_2L,LVQE_0L,LVQE_1L,LVQE_2L
caveman,1.0,1.0,0.89,1.0,1.0
gaussian,1.0,1.0,1.0,1.0,1.0
gnp,0.97,0.97,1.0,1.0,1.0
power,0.8,0.84,0.8,0.8,0.8
random_p,1.0,1.0,0.89,1.0,1.0
windmill,1.0,1.0,1.0,1.0,1.0
