graph,n_nodes,n_qubits,max_layers,shots,optimizer,true_baseline,p_d,p_dep,p_d1,p_d2,p_alpha,p_xx,p_h,method,total_budget,final_cost,modularity,approx_ratio
"regular_graph(n=8, d=3)",8,8,2,10,COBYLA,-10.0,0.00015,0.0008,0.00075,0.00075,0.0001,0.001,0.00125,L-VQE,500,-5.6,5.6,-0.5599999999999999
"regular_graph(n=8, d=3)",8,8,2,10,COBYLA,-10.0,0.00015,0.0008,0.00075,0.00075,0.0001,0.001,0.00125,VQE,500,-7.2,7.2,-0.72
"regular_graph(n=8, d=3)",8,8,2,10,COBYLA,-10.0,0.00015,0.0008,0.00075,0.00075,0.0001,0.001,0.00125,L-VQE,500,-5.6,5.6,-0.5599999999999999
"regular_graph(n=8, d=3)",8,8,2,10,COBYLA,-10.0,0.00015,0.0008,0.00075,0.00075,0.0001,0.001,0.00125,VQE,500,-7.2,7.2,-0.72
"regular_graph(n=8, d=3)",8,8,2,10,COBYLA,-10.0,0.00015,0.0008,0.00075,0.00075,0.0001,0.001,0.00125,L-VQE,500,-5.6,5.6,-0.5599999999999999
"regular_graph(n=8, d=3)",8,8,2,10,COBYLA,-10.0,0.00015,0.0008,0.00075,0.00075,0.0001,0.001,0.00125,VQE,500,-7.4,7.4,-0.74
