step,cost
0,0.15468749999999998
1,0.12890625
2,0.1234375
3,0.25
4,0.19921875
5,0.10390625
6,0.07890625000000001
7,0.0984375
8,0.14375
9,0.12265625000000001
10,0.23593750000000002
11,0.1625
12,0.14687499999999998
13,0.010156249999999992
14,0.06718750000000001
15,0.05625
16,0.1078125
17,0.029687499999999995
18,0.052343749999999994
19,0.0875
20,-0.02890625
21,0.053125
22,0.04453125
23,0.044531249999999994
24,0.0359375
25,0.02734374999999999
26,-0.03281250000000002
27,-0.02187500000000001
28,0.002343749999999988
29,0.03828125000000002
30,0.0125
31,-0.06171875000000003
32,-0.015625000000000014
33,0.0796875
34,0.005468750000000005
35,0.030468749999999996
36,-0.05625000000000001
37,0.040624999999999994
38,0.05468750000000001
39,-0.046875
40,0.05078125
41,0.03203125000000001
42,-0.03515625000000001
43,-0.02500000000000002
44,0.022656250000000003
45,0.028906250000000005
46,0.02656249999999999
47,0.09218749999999999
48,0.03828124999999998
49,0.046874999999999986
50,0.03984375
51,0.019531250000000007
52,0.060156249999999994
53,0.03749999999999999
54,0.0640625
55,0.06171875000000002
56,-0.04375000000000002
57,0.014062499999999978
58,-0.048437500000000015
59,0.11953125
60,0.04062500000000001
61,0.0828125
62,0.019531249999999993
63,-0.022656250000000024
64,0.051562500000000004
65,0.01953125
66,-0.010156250000000004
67,0.06328125
68,-0.08125
69,0.044531249999999994
70,0.0039062499999999965
71,0.13281250000000003
72,0.00390625
73,0.04531249999999999
74,0.06406250000000002
75,0.008593749999999987
76,0.07734375
77,0.05859375
78,0.035156249999999986
79,0.05390625000000001
80,0.020312499999999983
81,0.08671875
82,0.05937499999999999
83,0.0828125
84,-0.004687499999999997
85,0.09921875000000002
86,-0.010937500000000003
87,0.011718749999999986
88,0.018749999999999992
89,0.00937499999999998
90,0.0703125
91,0.09140625
92,0.10546875000000001
93,0.04375
94,0.09687499999999998
95,0.007031249999999982
96,-0.022656250000000013
97,0.08281250000000001
98,-0.0015625000000000014
99,0.046875
100,0.06328124999999998
101,0.021093749999999994
102,-0.009375000000000022
103,0.03515625
104,0.04296874999999999
105,-0.1
106,-0.0015624999999999944
107,-0.04765625000000001
108,-0.10390625
109,0.07734375
110,-0.07656249999999999
111,-0.10703125000000002
112,-0.0796875
113,-0.12031250000000002
114,-0.11953125
115,-0.08593750000000003
116,-0.11249999999999999
117,-0.128125
118,-0.18593750000000003
119,-0.22968750000000004
120,-0.23125
121,-0.048437499999999994
122,-0.13046875000000002
123,-0.221875
124,-0.035937500000000004
125,-0.22812500000000005
126,-0.17343750000000002
127,-0.17343750000000002
128,-0.15546875000000002
129,-0.1453125
130,-0.13906249999999998
131,-0.17187500000000003
132,-0.125
133,-0.17578125
134,-0.014062500000000006
135,-0.1078125
136,-0.0921875
137,-0.13671875
138,-0.08125000000000002
139,-0.055468750000000046
140,-0.13828125
141,-0.16640624999999998
142,-0.06640625000000001
143,-0.13593750000000004
144,-0.14765625000000004
145,-0.203125
146,-0.2046875
147,-0.13515625000000003
148,-0.08046874999999998
149,-0.19843750000000002
150,-0.14296875
151,-0.18515625000000002
152,-0.18281250000000002
153,-0.19062500000000002
154,-0.021875
155,-0.02109375000000001
