graph,n_nodes,n_qubits,k_target,max_layers,shots,max_iter_layer,optimizer,true_baseline,final_cost,noisy_modularity,approx_ratio_rho,p_d,p_dep,p_d1,p_d2,p_alpha,p_xx,p_h
"connected_caveman_graph(l=4,k=2)",8,16,4,2,10,100,COBYLA,0.75,-0.31953125,0.31953125,0.42604166666666665,0.00015,0.0008,0.00075,0.00075,0.0001,0.001,0.00125
"connected_caveman_graph(l=4,k=2)",8,16,4,2,10,100,COBYLA,0.75,-0.22265625000000003,0.22265625000000003,0.29687500000000006,0.00015,0.0008,0.00075,0.00075,0.0001,0.001,0.00125
"connected_caveman_graph(l=4,k=2)",8,16,4,2,10,200,COBYLA,0.75,-0.28515625000000006,0.28515625000000006,0.3802083333333334,0.00015,0.0008,0.00075,0.00075,0.0001,0.001,0.00125
