graph,VQE_1L,VQE_2L,LVQE_0L,LVQE_1L,LVQE_2L
3reg_10,0.95,1.0,0.95,0.95,0.95
3reg_12,0.98,0.96,0.96,0.96,0.96
3reg_14,1.0,0.96,0.96,0.96,0.96
3reg_8,1.0,1.0,1.0,1.0,1.0
mobius_10,1.0,1.0,0.82,1.0,1.0
