graph,VQE_1L,VQE_2L,LVQE_0L,LVQE_1L,LVQE_2L
caveman,1.0,1.0,1.0,1.0,0.83
gaussian,1.0,1.0,1.0,1.0,0.82
gnp,1.0,1.0,1.0,1.0,0.95
power,1.0,1.0,1.0,1.0,0.8
random_p,1.0,1.0,1.0,1.0,0.82
windmill,1.0,1.0,1.0,1.0,0.69
